,summary,Deutschland,Brasilien,USA,Frankreich,UN,China,Russland,Ukraine,word
hoffnung wandel,2.5087200044637847,-0.013133192154850244,-0.12651812320978953,-0.07475360743845376,-0.0009870797876331042,0.0,0.24960851178447196,-0.061528992356034276,0.05852108980851205,hoffnung wandel
Handel,2.485076436679349,-0.027198990078751914,-0.11704887682269643,-0.06528436105136069,0.0084821665994602,0.0,0.25907775817156514,-0.0520597459689411,0.06799033619560522,Handel
wandel handel,2.485076436679349,-0.027198990078751914,-0.11704887682269643,-0.06528436105136069,0.0084821665994602,0.0,0.25907775817156514,-0.0520597459689411,0.06799033619560522,wandel handel
handel bislang,2.470038371178166,-0.03639171792671359,-0.11097914392922396,-0.059214628157888125,0.014551899492932466,0.0,0.26514749106503743,-0.04599001307546886,0.07406006908907772,handel bislang
bislang deutsch,2.465358376789196,-0.039292966940170565,-0.10908264156855071,-0.057318125797214924,0.01644840185360576,0.0,0.2670439934257107,-0.04409351071479556,0.07595657144975099,bislang deutsch
bestimmt,2.7970227888114074,-0.1318569439745867,-0.023668112455043154,0.39092815474277226,-0.10976997687531063,0.0,0.1408256146967941,-0.17031188944371195,-0.050261807279165495,bestimmt
china-politik bestimm,2.4986653899525755,-0.019058127506910383,-0.12250220382979093,-0.07073768805845505,0.0030288395923656363,0.0,0.25362443116447053,-0.05751307297603559,0.06253700918851073,china-politik bestimm
Strategie,2.5311016885738273,-0.00023526991274049568,-0.13540011650781708,-0.08363560073648121,-0.009869073085660502,0.0,0.24072651848644439,-0.07041098565406191,0.04963909651048459,Strategie
die strategie,2.5311016885738273,-0.00023526991274049568,-0.13540011650781708,-0.08363560073648121,-0.009869073085660502,0.0,0.24072651848644439,-0.07041098565406191,0.04963909651048459,die strategie
gescheitert,2.5851704475960076,0.029364968007571008,-0.1565369014811611,-0.10477238570982529,-0.031005858059004594,0.0,0.2195897335131004,-0.09154777062740584,0.02850231153714075,gescheitert
strategie scheiter,2.5851704475960076,0.029364968007571008,-0.1565369014811611,-0.10477238570982529,-0.031005858059004594,0.0,0.2195897335131004,-0.09154777062740584,0.02850231153714075,strategie scheiter
das stell,2.757935746797055,0.11143341278149395,-0.221227940591889,-0.16946342482055304,-0.09569689716973225,0.0,0.15489869440237253,-0.15623880973813364,-0.03618872757358717,das stell
stell olaf,3.0543795177903728,0.21977393151156263,-0.323321926682301,-0.27155741091096514,-0.19779088326014432,0.0,0.05280470831196047,-0.2583327958285457,-0.1382827136639993,stell olaf
scholz antrittsbesuch,2.622687066562541,0.04870765812322695,-0.17094484865146123,-0.11918033288012533,-0.04541380522930458,0.0,0.20518178634280035,-0.10595571779770602,0.01409436436684044,scholz antrittsbesuch
Probleme,2.5087200044637847,-0.013133192154850244,-0.12651812320978953,-0.07475360743845376,-0.0009870797876331042,0.0,0.24960851178447196,-0.061528992356034276,0.05852108980851205,Probleme
peking problem,2.5087200044637847,-0.013133192154850244,-0.12651812320978953,-0.07475360743845376,-0.0009870797876331042,0.0,0.24960851178447196,-0.061528992356034276,0.05852108980851205,peking problem
bei antrittsbesuch,2.4737989541724095,-0.03407444399356598,-0.11250046571716295,-0.06073594994582717,0.013030577704993714,0.0,0.26362616927709864,-0.04751133486340754,0.07253874730113896,bei antrittsbesuch
antrittsbesuch zähl,2.4569775328190278,-0.0445373983530593,-0.10567740786549183,-0.053912892094155854,0.01985363555666489,0.0,0.2704492271287697,-0.04068827701173645,0.07936180515281013,antrittsbesuch zähl
Detail,2.7782042903619892,-0.04252448636808017,0.21756563173873472,-0.17678572302426426,-0.10301919537344358,0.0,0.14757639619866136,-0.16356110794184486,-0.0435110257772984,Detail
zähl detail,2.46101783866994,-0.04200122656443324,-0.10732047844798827,-0.05555596267665243,0.018210564974168144,0.0,0.26880615654627316,-0.042331347594232974,0.07771873457031359,zähl detail
detail wie,2.470038371178166,-0.03639171792671359,-0.11097914392922396,-0.059214628157888125,0.014551899492932466,0.0,0.26514749106503743,-0.04599001307546886,0.07406006908907772,detail wie
viele,2.720311317763309,0.0949924848801658,-0.207491787338523,-0.15572727156718721,-0.08196074391636649,0.0,0.16863484765573855,-0.14250265648476776,-0.022452574320221397,viele
wie viele,2.4751046280442104,-0.03327278463402557,-0.11302812760444933,-0.061263611833113615,0.012502915817707313,0.0,0.26309850738981216,-0.04803899675069407,0.07201108541385226,wie viele
Wirtschaftsvertreter,2.4835548592501,-0.028120249236124783,-0.11643640333203507,-0.06467188756069926,0.009094640090121562,0.0,0.25969023166222643,-0.05144727247827987,0.06860280968626659,Wirtschaftsvertreter
viele wirtschaftsvertreter,2.4835548592501,-0.028120249236124783,-0.11643640333203507,-0.06467188756069926,0.009094640090121562,0.0,0.25969023166222643,-0.05144727247827987,0.06860280968626659,viele wirtschaftsvertreter
wirtschaftsvertreter reis,2.5255463925870907,-0.003399880707992917,-0.1332028909415683,-0.08143837517023247,-0.0076718475194118094,0.0,0.2429237440526932,-0.06821376008781306,0.05183632207673324,wirtschaftsvertreter reis
